PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=9.96 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=9.95 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=15.6 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=7.87 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=7.51 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=25.9 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=4.53 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=13.0 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=6.28 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=15.9 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=9.81 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=8.10 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=12.6 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=8.27 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=8.49 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=9.37 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=0.033 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=6.56 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=10.2 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=9.68 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=9.73 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=8.77 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=8.54 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=6.15 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=11.7 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=8.42 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=9.80 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=0.212 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=23.1 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=7.96 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=3.80 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=9.74 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=9.71 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=6.04 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=7.98 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=7.17 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=9.07 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=8.65 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=12.0 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=9.70 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=9.26 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=9.37 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=9.89 ms
64 bytes from 10.0.0.2: icmp_seq=191 ttl=64 time=12.7 ms
